sulfate,sulfate_binary,TWI,precip. seasonality,precip. driest quarter,precip. warmest quarter,precip. coldest quarter,annual precipitation,annual mean temperature,coastline distance,N fertilizer use,land subsidence,soil pH,population density,volcano distance,water table depth,land use-urban,sedimentary rock
1980,1,0.819244709,0.239662947,0.023087421,0.028249637,0.002573094,0.02491432,0.638061177,0.621098986,0.013943437,0.6,0.608695652,6.05E-05,0.040922122,0.007642396,0,1
1976,1,0.851510718,0.493564937,0.012631579,0.025645114,0.002111685,0.023422037,0.768510421,0.582581796,0.0229723,0.8,0.68115942,0.002019791,0.082240691,0.02704922,0,1
1974.65,1,0.793989384,0.211065764,0.028185999,0.023101479,0.00350291,0.021457674,0.644405204,0.776665855,0.000753569,0.6,0.666666667,4.23E-05,0.043846355,0.010417312,0,1
1970,1,0.804308546,0.199114971,0.039473684,0.026132501,0.004399343,0.031150337,0.673091465,0.676614796,0.005902029,0.6,0.608695652,3.73E-05,0.058468737,0.01646925,0,1
1970,1,0.668404275,0.140337049,0.081148947,0.029812555,0.009091976,0.0434487,0.69532438,0.803216047,0.002412203,0.4,0.483091787,0.002506645,0.096739711,0.010709713,0,1
1950,1,0.83119153,0.284260544,0.015263158,0.018313134,0.001935711,0.01567646,0.677929653,0.615060788,8.59E-05,0.4,0.637681159,8.75E-07,0.032509578,0.026603422,0,1
1950,1,0.846893635,0.218108361,0.026098526,0.020585677,0.002932895,0.022432241,0.662803311,0.669845088,0.001135028,0.6,0.623188406,1.30E-05,0.052079559,0.013865928,0,1
1920,1,0.767085136,0.421062877,0.003157895,0.008448333,0.001373868,0.03291545,0.806169634,0.761878429,0.006763356,0.6,0.507246377,0.001471565,0.062799684,0.036963564,0,0
1900,1,0.722691475,0.267120753,0.013684211,0.023504638,0.001525106,0.019437932,0.549599379,0.437915946,0.004427589,0.4,0.492753623,6.26E-06,0.034127506,0.023533165,0,1
1890,1,0.800659586,0.250527293,0.017915842,0.016801246,0.002231353,0.01727165,0.679626114,0.654762769,0.000116839,0.4,0.637681159,0,0.045063172,0.009599839,0,1
1877.8011,1,0.743223393,0.349851944,0.008560737,0.024811974,0.001673287,0.016877967,0.698671499,0.744596735,0.002068114,0.2,0.724637681,2.01E-05,0.018660506,0.014567992,0,0
1850,1,0.385514929,0.128586432,0.020190526,0.009939751,0.004248692,0.013668102,0.623695871,0.679749913,7.74E-06,0.2,0.637681159,2.84E-06,0.004795762,0.01534464,0,1
1847.1954,1,0.734723436,0.37587509,0.006315789,0.021927951,0.001155578,0.014047173,0.695362797,0.742331364,0.000144429,0.6,0.724637681,2.17E-05,0.024607762,0.01938762,0,1
1800,1,0.804606417,0.364866012,0.002105263,0.020519136,0.002369375,0.031070246,0.835961281,0.80984717,0.002607118,0.4,0.550724638,0.004839768,0.042852708,0.018751284,0,1
1790.8921,1,0.841446734,0.294818452,0.02842821,0.036222529,0.003543694,0.035669229,0.76427516,0.829792289,0.002980399,0.4,0.666666667,4.07E-05,0.043571414,0.007250679,0,1
1781.4,1,0.768499983,0.269956155,0.034676526,0.031418962,0.004036796,0.031660669,0.738575448,0.788732547,0.001859325,0.6,0.652173913,0.003506412,0.051143655,0.016994161,0,1
1776.4044,1,0.910021356,0.289115369,0.007339789,0.012910177,0.001422267,0.010367226,0.718426185,0.725558176,0.000154325,0.6,0.695652174,0.001335624,0.022262106,0.009190156,0,1
1770,1,0.405728685,0.238846147,0.009976527,0.002970977,0.008248416,0.018519407,0.665591839,0.871553328,0.007052631,0.4,0.594202899,0.000588866,0.086471363,0.04090287,0,0
1760,1,0.6833936,0.232089337,0.027033946,0.031603799,0.003012934,0.02907286,0.623984045,0.592600911,0.003111747,0.6,0.565217391,2.69E-08,0.039371334,0.043803222,0,1
1755,1,0.784946847,0.405320104,0.003129858,0.010715193,0.001404663,0.032949599,0.809831535,0.766118443,0.004376707,0.6,0.536231884,0.002676393,0.057079563,0.012430599,0,0
1754,1,0.735882942,0.262884198,0.016930104,0.017275152,0.001935711,0.014438138,0.491410666,0.567210837,0.009431876,0.2,0.565217391,1.97E-05,0.047546966,0.039753296,0,1
1754,1,0.85106383,0.48820098,0.008421053,0.017408524,0.001642421,0.017040507,0.769702972,0.561226127,0.027508375,0.8,0.637681159,0.001392566,0.078075718,0.034711023,0,1
1740,1,0.806648904,0.219078995,0.023558368,0.019841549,0.002692486,0.020257652,0.666612963,0.651863143,0.001221916,0.6,0.623188406,0.002415972,0.046574853,0.007126885,0,1
1733.146,1,0.784616998,0.191860215,0.033693526,0.019571036,0.0039125,0.0244165,0.751312264,0.812696769,6.82E-05,0.4,0.623188406,0.001871548,0.065376478,0.017408454,0,1
1720,1,0.751968059,0.311979321,0.010062053,0.017227312,0.00240803,0.013181768,0.643289488,0.668872872,0.000356501,0.4,0.68115942,0.000210783,0.017945094,0.008179708,0,1
1700,1,0.859436197,0.436588095,0,0,0.00517544,0.007488592,0.666348465,0.578732193,2.11E-05,0.4,0.652173913,0.000105575,0.050906749,0.009476225,0,1
1674,1,0.84389366,0.514975202,0.010526316,0.021978545,0.001935623,0.020655489,0.768729116,0.571472041,0.027211132,0.8,0.68115942,0.002067919,0.08288931,0.038414896,0,1
1673.9419,1,0.786691463,0.295594707,0.008421053,0.015647869,0.0015251,0.011584833,0.729558145,0.722946861,0.000143133,0.2,0.753623188,2.75E-05,0.0236841,0.026099446,0,1
1663.8275,1,0.75788295,0.319997095,0.00861221,0.01680922,0.00154641,0.012175511,0.71701198,0.720050712,0.000183841,0.6,0.739130435,2.08E-05,0.029767732,0.03034474,0,1
1660,1,0.70212766,0.138898681,0.082799474,0.030658307,0.009326607,0.044332463,0.695798723,0.805362973,0.002430403,0.2,0.550724638,0.00014674,0.096986374,0.011262707,0,1
1650,1,0.806510601,0.582369733,0.011578947,0.01449768,0.002053027,0.05065918,0.786491811,0.620544624,0.0196263,0.8,0.565217391,0.004727914,0.105270418,0.007744409,0,1
1643.258,1,0.783861688,0.191752684,0.033650579,0.019590316,0.003908998,0.024389837,0.751284162,0.812672108,6.84E-05,0.4,0.623188406,0.001871425,0.065367919,0.017702768,0,1
1640.8339,1,0.766191523,0.316361048,0.011052632,0.016672079,0.002098727,0.016050556,0.671745244,0.727002434,0.000569136,0.2,0.724637681,1.05E-05,0.027009135,0.024779064,0,1
1640,1,0.709957447,0.06625517,0.10050105,0.039276313,0.011935242,0.0500664,0.503314613,0.669067044,0.015502341,0.4,0.550724638,0.000109592,0.269071016,0.008142778,0,1
1633,1,0.842276553,0.511956164,0.009473684,0.019619164,0.001525106,0.019101677,0.771109793,0.567072591,0.029893704,0.8,0.637681159,0.00216468,0.085098149,0.036887769,0,1
1630,1,0.66444681,0.129989249,0.023015474,0.011417237,0.005285664,0.016285289,0.585912512,0.672108371,8.97E-06,0,0.579710145,1.57E-06,0.00673355,0.045613385,0,1
1621,1,0.85106383,0.49195617,0.007368421,0.016399536,0.001231816,0.01487366,0.77788236,0.589921152,0.014521345,0.8,0.637681159,0.001798894,0.089766911,0.026845395,0,1
1616,1,0.426446793,0.233084639,0.010695105,0.003163724,0.008302264,0.018938761,0.654495337,0.87265798,0.006854278,0.4,0.579710145,0.000316023,0.086511591,5.72E-17,0,0
1609.0239,1,0.657595776,0.305861859,0.010526316,0.017225428,0.002019674,0.015949393,0.70581942,0.720371661,0.000230351,0.6,0.68115942,4.27E-05,0.029049744,0.036074788,0,1
1600,1,0.804702109,0.614904904,0.008947368,0.03526428,0.001231816,0.034649746,0.784965284,0.633217783,0.013830568,0.8,0.608695652,0.003230955,0.097065049,0.009192994,0,1
1584,1,0.836106321,0.466282058,0.021213473,0.017552333,0.018975364,0.036003641,0.840390124,0.869542143,0.00287235,0.8,0.492753623,0.000922384,0.047544596,0.011251333,0,1
1582,1,0.840425532,0.543854416,0.012646632,0.02964033,0.001937388,0.027686561,0.773997339,0.596047924,0.022359942,0.8,0.652173913,0.002973717,0.085528491,0.024348867,0,1
1580,1,0.73109574,0.229317623,0.024749842,0.027833139,0.00275837,0.028457264,0.638166099,0.605974288,0.004104997,0.4,0.565217391,0,0.044672468,0.01924298,0,1
1570,1,0.61711705,0.190671632,0.011287264,0.003688866,0.004718811,0.013662821,0.668003548,0.868224453,0.007171544,0.6,0.637681159,0.000201524,0.072773724,0.038042676,0,1
1557.1005,1,0.422217024,0.392713807,0.015543158,0.061592927,0.001841219,0.069641079,0.731519132,0.827599168,0.006906067,0.2,0.420289855,0.001871082,0.013961094,0.015627579,0,1
1554.8997,1,0.900829721,0.354983043,0.005789474,0.018121195,0.0011145,0.011965339,0.703858433,0.733005207,6.40E-05,0.6,0.739130435,3.38E-05,0.025103498,0.018579365,0,1
1550,1,0.752563801,0.187856486,0.040526316,0.027689185,0.004516659,0.032771266,0.661013751,0.647059746,0.005765248,0.6,0.550724638,2.49E-05,0.055563404,0.005878209,0,1
1550,1,0.688606343,0.061794873,0.097942103,0.037331545,0.011453719,0.048015587,0.532069007,0.69538034,0.008946037,0.4,0.463768116,0.016853732,0.27693339,0.001806029,0,1
1539.4353,1,0.891351091,0.276497114,0.030949422,0.031512032,0.003749724,0.033656515,0.764771685,0.834243488,0.003251025,0.6,0.652173913,0.000149988,0.045666778,0.01085546,0,1
1530,1,0.723861694,0.227839957,0.025767158,0.028304291,0.00287175,0.029009024,0.635751444,0.605755121,0.004272488,0.6,0.565217391,0,0.045077451,0.04632773,0,1
1530,1,0.714319189,0.064210919,0.117639473,0.03730516,0.017374765,0.05560119,0.505668541,0.647299414,0.01353166,0.4,0.405797101,0.000272643,0.267535028,0.000752461,0,1
1529.3491,1,0.748829781,0.345726644,0.009943473,0.024874746,0.001808599,0.016837102,0.719575894,0.750076766,0.003190548,0.4,0.710144928,4.54E-05,0.015486441,0.022744339,0,1
1521,1,0.640159607,0.102820101,0.053784212,0.014814439,0.009889371,0.03115895,0.578505984,0.842653699,0.00807125,0.2,0.594202899,0.000458399,0.064438664,0.008963442,0,1
1520,1,0.85365961,0.282313471,0.016525264,0.018307335,0.002185928,0.016222222,0.675198765,0.623026056,0.000106378,0.4,0.652173913,0,0.035610414,0.012237946,0,1
1520,1,0.686648917,0.187229112,0.016840737,0.007406929,0.004265322,0.016173769,0.672302341,0.869956749,0.007471357,0.6,0.652173913,0.00375434,0.055311822,0.028033517,0,1
1515,1,0.849542496,0.490769228,0.006842105,0.015076834,0.0011145,0.013764088,0.784285493,0.594192086,0.012084606,0.8,0.637681159,0.001665001,0.089523745,0.019569099,0,1
1511.9294,1,0.799414858,0.317048388,0.008638053,0.01649884,0.001542386,0.01200123,0.717994685,0.720369573,0.000177955,0.6,0.739130435,2.16E-05,0.029962326,0.032718468,0,1
1510,1,0.858638358,0.301978503,0.013157895,0.026754712,0.001466448,0.021058554,0.551627307,0.390927399,0.008348097,0.6,0.594202899,2.73E-05,0.044868664,0.006598541,0,1
1510,1,0.845691437,0.214756823,0.046536211,0.027189185,0.006092328,0.032281545,0.75258165,0.852746579,0.01868576,0.6,0.594202899,0.002260107,0.069081803,0.011785405,0,1
1506,1,0.599659534,0.193923496,0.011418158,0.003533604,0.005273135,0.014294006,0.652782613,0.866273011,0.007853821,0.4,0.637681159,6.82E-05,0.075383497,0.024717766,0,1
1500,1,0.765957447,0.127177834,0.062412105,0.037591476,0.006955831,0.041086346,0.504851929,0.577531778,0.004524933,0.4,0.362318841,7.78E-05,0.205328327,0.004842939,0,1
1490,1,0.800446774,0.591195219,0.009523789,0.033112351,0.001642421,0.03416782,0.779748783,0.601286898,0.026663632,0.8,0.714975845,0.003822335,0.0889129,0.011776547,0,1
1488,1,0.817627602,0.394102969,0.003157895,0.011144535,0.001525106,0.02968769,0.807641509,0.768002774,0.004980716,0.6,0.536231884,0.001651566,0.056828203,0.022675088,0,0
1474.8,1,0.829787234,0.578668309,0.012631579,0.034556972,0.001701079,0.034291186,0.783527402,0.614567568,0.018076009,0.8,0.666666667,0.005440514,0.094034343,0.018490488,0,1
1470,1,0.614936179,0.383105061,0.008738053,0.002433821,0.007435241,0.017241656,0.595413036,0.51805835,2.70E-05,0.4,0.642512077,0.000529384,0.01408927,0.01607851,0,0
1469.33,1,0.491284066,0.201622006,0.024788999,0.021152798,0.002984485,0.019754396,0.643231862,0.791553318,0.000832963,0.2,0.652173913,4.23E-05,0.047335824,0.025012784,0,1
1464.2054,1,0.914893617,0.285354848,0.006842105,0.012757321,0.001466448,0.010177409,0.719194621,0.722125738,0.000107849,0.6,0.695652174,0.000238942,0.023255444,0.02932602,0,1
1463.6327,1,0.852478677,0.329716716,0.009450579,0.02276022,0.001698322,0.016180331,0.700245294,0.736619309,0.000968583,0.2,0.753623188,1.87E-05,0.02070394,0.030998289,0,1
1460,1,0.756148967,0.430976009,0.003684211,0.00792621,0.001349132,0.03408455,0.806599668,0.755126434,0.006100759,0.6,0.52173913,0.001403876,0.063388607,0.026605235,0,0
1450,1,0.759361673,0.38351985,0.003157895,0.020062047,0.001877053,0.030650464,0.793825929,0.776622087,0.00710083,0.6,0.536231884,0.001834578,0.062155432,0.046551083,0,0
1440.1066,1,0.86343611,0.329702644,0.005783684,0.01619339,0.001114178,0.011509204,0.711199936,0.732493224,9.23E-05,0.6,0.710144928,0.00028329,0.021581161,0.024499245,0,1
1440,1,0.7219149,0.068457819,0.095487366,0.038765876,0.011320624,0.048304878,0.505022313,0.672108371,0.013175602,0.4,0.52173913,0.000425648,0.270753626,0.001708475,0,1
1440,1,0.707521317,0.392229539,0.006953631,0.001915323,0.007301502,0.016544942,0.597719823,0.516582143,2.77E-05,0.6,0.647342995,0.05533092,0.013745,0.001410186,0,0
1440,1,0.857191532,0.506476441,0.011579947,0.020708756,0.001701191,0.020411936,0.767081417,0.556393538,0.035788821,0.8,0.637681159,0.001920334,0.083053935,0.043003925,0,1
1430,1,0.82830843,0.603436706,0.012631579,0.040877646,0.001759737,0.040739169,0.784273683,0.622664806,0.013577481,0.8,0.652173913,0.012013497,0.097591603,0.013346754,0,1
1420,1,0.852085032,0.506033917,0.007894737,0.018204842,0.001290474,0.018003999,0.771343286,0.569466488,0.023192524,0.8,0.637681159,0.002213351,0.083875101,0.033493207,0,1
1411,1,0.627308541,0.248953675,0.017859947,0.018414468,0.001990491,0.016308465,0.522153246,0.599887118,0.002785265,0.4,0.565217391,2.02E-05,0.035884731,0.016664923,0,1
1410,1,0.849723329,0.507477255,0.012105263,0.024889534,0.00189211,0.022186894,0.772382138,0.5858951,0.024005122,0.8,0.608695652,0.002839472,0.084205506,0.025541116,0,1
1408.141,1,0.732574463,0.396771301,0.009258684,0.026490722,0.00140779,0.016728349,0.697094716,0.729121567,0.000510877,0.4,0.710144928,2.50E-05,0.037612793,0.019335581,0,1
1400,1,0.700627672,0.074235728,0.065363685,0.027066685,0.007672337,0.031117674,0.541393679,0.811740188,0.018648401,0.4,0.47826087,0.000802116,0.046341117,0.008743392,0,1
1375.6931,1,0.906531963,0.291542609,0.007368421,0.012791519,0.001393442,0.010265601,0.717041518,0.725946509,0.000156449,0.6,0.695652174,0.000146478,0.022128739,0.012879315,0,1
1362,1,0.851680837,0.505173701,0.012631579,0.025385763,0.001950833,0.023333077,0.771866419,0.592424462,0.018602996,0.8,0.632850242,0.003337359,0.08495803,0.027858581,0,1
1354.6486,1,0.693319118,0.324169566,0.011141526,0.021966947,0.001702035,0.016101882,0.716002666,0.741527265,0.001590071,0.4,0.710144928,1.87E-05,0.018775473,0.006492561,0,1
1354,1,0.849425458,0.494880077,0.014210526,0.024919107,0.002287828,0.024589396,0.763979601,0.564117061,0.031928223,0.8,0.739130435,0.002937852,0.077069227,0.032593257,0,1
1350,1,0.72832976,0.15649794,0.049711051,0.039008698,0.005540298,0.03950218,0.516934385,0.525324756,0.009248596,0.4,0.415458937,0.000118511,0.19189912,5.72E-17,0,1
1350,1,0.785680811,0.161333755,0.046842105,0.034628444,0.005807133,0.031071066,0.538937041,0.736273704,0.023621337,0.6,0.434782609,0.002952478,0.109497064,0.000381049,0,1
1350,1,0.753148911,0.587411065,0.012105263,0.018152218,0.002404974,0.057360917,0.78439928,0.641094477,0.009627849,0.8,0.594202899,0.003289536,0.121653354,0.009332813,0,1
1331,1,0.843063841,0.500475597,0.012105263,0.025008554,0.00193452,0.02252797,0.770758088,0.589272322,0.020151059,0.8,0.637681159,0.003938963,0.084612055,0.027351383,1,1
1330,1,0.866202172,0.263939614,0.017368262,0.016961438,0.002170325,0.015683433,0.677730153,0.627234811,0.000135742,0.4,0.652173913,2.04E-06,0.036628813,0.014615199,0,1
1320,1,0.742148947,0.205313065,0.037368421,0.027834155,0.004164711,0.031010563,0.657413916,0.6526082,0.002323075,0.4,0.594202899,1.87E-05,0.052936702,0.043847409,0,1
1320,1,0.786585138,0.047387509,0.100695263,0.034870832,0.011843442,0.046334565,0.531110837,0.700660645,0.006371147,0.4,0.405797101,0.001777618,0.2793793,0.000612077,0,1
1316,1,0.851095808,0.510839552,0.015789474,0.030655987,0.00252229,0.02854884,0.769530079,0.576998256,0.025741828,0.8,0.695652174,0.005124667,0.079950178,0.01588314,0,1
